k,draw_index,removed_features,mean_pr_auc
8,0,D-phenylalanine;Dimethyl sulfone;L-allo-Isoleucine;L-leucine;acetate;isopropanol;lipoproteins;methanol,0.9280135220723196
8,1,L-glutamine;L-leucine;L-tyrosine;L-valine;Pyruvic acid;acetate;histidine;hypoxanthine,0.969900709436995
8,2,D-phenylalanine;Dimethyl sulfone;L-alanine;L-allo-Isoleucine;L-glutamine;creatinine;lipoproteins;methanol,0.9545990030290404
8,3,(R)-3-Hydroxybutyric acid;L-Lactic acid;L-leucine;L-tyrosine;citrate;glycine;isopropanol;lipoproteins,0.9706806315401783
8,4,L-glutamine;L-leucine;L-tyrosine;acetate;acetoacetate;creatinine;glycine;methanol,0.9730174206814414
8,5,D-phenylalanine;Dimethyl sulfone;L-valine;Pyruvic acid;acetoacetate;citrate;histidine;lipoproteins,0.9494366119035677
8,6,Dimethyl sulfone;L-glutamine;acetate;acetoacetate;citrate;isopropanol;lipoproteins;methanol,0.9390044117516758
8,7,L-tyrosine;L-valine;acetate;acetoacetate;creatinine;glycine;isopropanol;methanol,0.9485355361401812
8,8,L-Lactic acid;L-alanine;L-allo-Isoleucine;L-leucine;L-tyrosine;Pyruvic acid;glycine;isopropanol,0.9655246751180118
8,9,D-phenylalanine;L-Lactic acid;L-alanine;L-glutamine;L-tyrosine;acetate;citrate;methanol,0.9734102933915737
8,10,(R)-3-Hydroxybutyric acid;Dimethyl sulfone;L-alanine;L-glutamine;acetate;creatinine;histidine;hypoxanthine,0.9672346752385711
8,11,D-phenylalanine;Dimethyl sulfone;L-Lactic acid;L-alanine;L-valine;acetoacetate;citrate;glycine,0.9617617130984625
8,12,(R)-3-Hydroxybutyric acid;L-Lactic acid;L-alanine;L-tyrosine;acetate;creatinine;glycine;isopropanol,0.9741502739886992
8,13,Dimethyl sulfone;L-Lactic acid;L-allo-Isoleucine;L-glutamine;Pyruvic acid;acetate;acetoacetate;lipoproteins,0.9585648513676556
8,14,Dimethyl sulfone;L-alanine;L-allo-Isoleucine;L-tyrosine;acetate;acetoacetate;citrate;glycine,0.9624633435968091
8,15,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-allo-Isoleucine;L-valine;Pyruvic acid;citrate;histidine;lipoproteins,0.9713150944175835
8,16,(R)-3-Hydroxybutyric acid;Dimethyl sulfone;L-Lactic acid;acetate;acetoacetate;citrate;histidine;lipoproteins,0.9592843437747511
8,17,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-glutamine;L-tyrosine;citrate;creatinine;glycine;methanol,0.9773730446322607
8,18,L-Lactic acid;L-alanine;L-allo-Isoleucine;Pyruvic acid;acetoacetate;citrate;creatinine;hypoxanthine,0.9774773143453921
8,19,(R)-3-Hydroxybutyric acid;Dimethyl sulfone;L-alanine;L-leucine;acetoacetate;citrate;histidine;lipoproteins,0.9586860466103819
8,20,D-phenylalanine;Dimethyl sulfone;L-glutamine;L-tyrosine;Pyruvic acid;citrate;glycine;hypoxanthine,0.9619833789831653
8,21,Dimethyl sulfone;Pyruvic acid;acetate;acetoacetate;citrate;creatinine;histidine;methanol,0.9454637590877618
8,22,Dimethyl sulfone;L-alanine;L-leucine;L-tyrosine;acetate;citrate;creatinine;isopropanol,0.9628115264193798
8,23,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-allo-Isoleucine;creatinine;glycine;hypoxanthine;isopropanol;methanol,0.9672563308039829
8,24,Dimethyl sulfone;L-Lactic acid;L-leucine;L-tyrosine;acetoacetate;hypoxanthine;isopropanol;lipoproteins,0.9544377153814222
8,25,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-alanine;Pyruvic acid;acetate;acetoacetate;glycine;lipoproteins,0.9696942320451224
8,26,(R)-3-Hydroxybutyric acid;L-glutamine;L-leucine;L-tyrosine;L-valine;acetate;histidine;methanol,0.9663485153455564
8,27,L-allo-Isoleucine;L-glutamine;L-valine;acetoacetate;citrate;creatinine;glycine;methanol,0.9707160544198243
8,28,L-alanine;L-allo-Isoleucine;L-glutamine;Pyruvic acid;acetoacetate;citrate;histidine;hypoxanthine,0.9762320953163373
8,29,D-phenylalanine;Dimethyl sulfone;L-leucine;acetoacetate;creatinine;histidine;lipoproteins;methanol,0.9392800487656009
11,0,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-Lactic acid;L-glutamine;L-valine;acetate;acetoacetate;citrate;histidine;hypoxanthine;isopropanol,0.96174620258302
11,1,D-phenylalanine;L-alanine;L-leucine;L-tyrosine;Pyruvic acid;acetate;citrate;glycine;histidine;lipoproteins;methanol,0.965166989522619
11,2,(R)-3-Hydroxybutyric acid;Dimethyl sulfone;L-Lactic acid;L-glutamine;Pyruvic acid;acetate;acetoacetate;citrate;histidine;isopropanol;lipoproteins,0.9456065084167911
11,3,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-Lactic acid;L-alanine;L-allo-Isoleucine;L-glutamine;L-tyrosine;L-valine;acetate;hypoxanthine;methanol,0.964239868844411
11,4,(R)-3-Hydroxybutyric acid;L-Lactic acid;L-alanine;L-glutamine;L-leucine;L-valine;Pyruvic acid;acetate;acetoacetate;glycine;methanol,0.9707570907305225
11,5,D-phenylalanine;Dimethyl sulfone;L-Lactic acid;L-alanine;L-leucine;L-valine;creatinine;glycine;histidine;hypoxanthine;isopropanol,0.9509405741609886
11,6,(R)-3-Hydroxybutyric acid;Dimethyl sulfone;L-Lactic acid;L-alanine;L-leucine;L-valine;creatinine;glycine;hypoxanthine;lipoproteins;methanol,0.9463270882827648
11,7,(R)-3-Hydroxybutyric acid;L-tyrosine;L-valine;Pyruvic acid;citrate;glycine;histidine;hypoxanthine;isopropanol;lipoproteins;methanol,0.9422902461032333
11,8,(R)-3-Hydroxybutyric acid;L-glutamine;L-valine;Pyruvic acid;acetate;acetoacetate;citrate;creatinine;histidine;hypoxanthine;isopropanol,0.9589429556708862
11,9,(R)-3-Hydroxybutyric acid;D-phenylalanine;Dimethyl sulfone;L-alanine;L-allo-Isoleucine;L-leucine;acetoacetate;citrate;creatinine;hypoxanthine;lipoproteins,0.9628574384260176
11,10,D-phenylalanine;Dimethyl sulfone;L-alanine;L-allo-Isoleucine;L-leucine;Pyruvic acid;citrate;creatinine;glycine;hypoxanthine;lipoproteins,0.9680038797689913
11,11,(R)-3-Hydroxybutyric acid;L-Lactic acid;L-alanine;L-glutamine;L-leucine;Pyruvic acid;acetate;citrate;histidine;lipoproteins;methanol,0.9689713078501699
11,12,Dimethyl sulfone;L-alanine;L-leucine;L-valine;acetoacetate;citrate;histidine;hypoxanthine;isopropanol;lipoproteins;methanol,0.9102026480846452
11,13,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-Lactic acid;L-alanine;L-glutamine;Pyruvic acid;creatinine;glycine;hypoxanthine;lipoproteins;methanol,0.9694208102999674
11,14,(R)-3-Hydroxybutyric acid;D-phenylalanine;Dimethyl sulfone;L-Lactic acid;L-alanine;L-allo-Isoleucine;L-glutamine;L-valine;acetoacetate;creatinine;glycine,0.9607858375080407
11,15,(R)-3-Hydroxybutyric acid;L-allo-Isoleucine;L-glutamine;L-tyrosine;L-valine;Pyruvic acid;acetate;citrate;creatinine;histidine;lipoproteins,0.9698380026485578
11,16,(R)-3-Hydroxybutyric acid;L-leucine;L-tyrosine;L-valine;acetate;citrate;creatinine;glycine;histidine;lipoproteins;methanol,0.9669993726629306
11,17,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-allo-Isoleucine;L-glutamine;L-leucine;acetate;citrate;glycine;histidine;hypoxanthine;isopropanol,0.9770798786645611
11,18,Dimethyl sulfone;L-Lactic acid;L-allo-Isoleucine;L-tyrosine;Pyruvic acid;acetate;citrate;creatinine;glycine;histidine;hypoxanthine,0.9519255840265226
11,19,Dimethyl sulfone;L-allo-Isoleucine;L-glutamine;L-leucine;L-tyrosine;L-valine;acetoacetate;citrate;creatinine;lipoproteins;methanol,0.9229867656957076
11,20,Dimethyl sulfone;L-alanine;L-glutamine;L-leucine;L-tyrosine;acetate;citrate;creatinine;glycine;isopropanol;lipoproteins,0.9353843375612674
11,21,(R)-3-Hydroxybutyric acid;D-phenylalanine;Dimethyl sulfone;L-Lactic acid;L-alanine;L-glutamine;acetate;citrate;glycine;lipoproteins;methanol,0.9536365920421707
11,22,D-phenylalanine;L-Lactic acid;L-alanine;L-glutamine;L-valine;Pyruvic acid;acetoacetate;glycine;isopropanol;lipoproteins;methanol,0.9336520811197165
11,23,D-phenylalanine;L-Lactic acid;L-alanine;L-leucine;Pyruvic acid;acetate;glycine;hypoxanthine;isopropanol;lipoproteins;methanol,0.9506063124764381
11,24,(R)-3-Hydroxybutyric acid;D-phenylalanine;Dimethyl sulfone;L-Lactic acid;L-glutamine;L-leucine;Pyruvic acid;acetoacetate;citrate;histidine;isopropanol,0.9549056818603264
11,25,D-phenylalanine;Dimethyl sulfone;L-alanine;L-allo-Isoleucine;L-glutamine;L-leucine;L-valine;Pyruvic acid;hypoxanthine;lipoproteins;methanol,0.9507238169852107
11,26,Dimethyl sulfone;L-Lactic acid;L-allo-Isoleucine;L-valine;Pyruvic acid;acetate;acetoacetate;citrate;histidine;isopropanol;methanol,0.8890127883696533
11,27,D-phenylalanine;L-Lactic acid;L-glutamine;L-tyrosine;L-valine;acetate;citrate;creatinine;glycine;histidine;isopropanol,0.9533399430911824
11,28,(R)-3-Hydroxybutyric acid;D-phenylalanine;L-Lactic acid;L-alanine;L-glutamine;L-leucine;Pyruvic acid;acetoacetate;hypoxanthine;isopropanol;lipoproteins,0.9645965309124171
11,29,(R)-3-Hydroxybutyric acid;Dimethyl sulfone;L-Lactic acid;L-glutamine;L-leucine;acetoacetate;citrate;creatinine;histidine;hypoxanthine;isopropanol,0.9564836646848213
