k,removed_features,informed_pr_auc_mean,informed_pr_auc_std,random_pr_auc_mean,random_pr_auc_std,random_pr_auc_p05,random_pr_auc_p95,informed_percentile_in_random_dist,baseline_pr_auc_mean
1,Dimethyl sulfone,0.9637550389739367,0.03255474858859667,0.9750892522795872,0.00271532657189285,0.9716529680663009,0.979197685240671,0.0,0.9717824644320947
3,Dimethyl sulfone;isopropanol;methanol,0.9522526998974792,0.02924044049114287,0.9712236449020263,0.0067064587395812315,0.9606427022193936,0.9781491167397687,3.3333333333333335,0.9717824644320947
5,Dimethyl sulfone;isopropanol;methanol;lipoproteins;L-valine,0.9292355274600049,0.036240107510110905,0.9692496587927923,0.006298504932189387,0.9582478412991906,0.9773150248945085,0.0,0.9717824644320947
8,Dimethyl sulfone;isopropanol;methanol;lipoproteins;L-valine;L-tyrosine;glycine;hypoxanthine,0.8938587714632081,0.04362968781828822,0.9618219057567902,0.012218113155465121,0.9391284484079421,0.9768596174400952,0.0,0.9717824644320947
11,Dimethyl sulfone;isopropanol;methanol;lipoproteins;L-valine;L-tyrosine;glycine;hypoxanthine;Pyruvic acid;acetoacetate;citrate,0.8755880019800957,0.05025018052439905,0.9525810266351518,0.018757748472465793,0.9159555010096233,0.9703435010936384,0.0,0.9717824644320947
